SYMBOL	ID	ENTREZID	GENENAME	CHR	CHRLOC	ectoderm_rep1	endoderm_rep1	endoderm_rep2	HUES64_rep1	mesoderm_rep1	mesoderm_rep2	ectoderm_rep2	ectoderm_rep3	HUES64_rep2
DBIP2	gene10124	1623	diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein) pseudogene 2	5	NA	0.18	0	0	0	0	0	0	0	0
DHFR	gene10125	1719	dihydrofolate reductase	5	 -79922045	13.75	16.42	14.06	13.79	7.14	7.46	27.49	25.02	14.18
MTRNR2L2	gene10126	100462981	MT-RNR2-like 2	5	 -79945819	0.9	0.93	0.81	0.26	0.49	0.88	0.38	0.37	0.33
MSH3	gene10127	4437	mutS homolog 3	5	  79950467	3.38	3.7	3.31	3.44	2.52	3.31	5.47	5.2	3.27
RPS2P11	gene1013	343184	ribosomal protein S2 pseudogene 11	1	NA	0	0.08	0.08	0.15	0.09	0.08	0.06	0	0
RASGRF2	gene10130	5924	Ras protein-specific guanine nucleotide-releasing factor 2	5	  80256508	0.01	0.54	0.44	0.37	0.56	0.61	0.05	0.03	0.5
CKMT2	gene10131	1160	creatine kinase, mitochondrial 2 (sarcomeric)	5	  80529139	0	0	0.1	0.18	0.05	0	0	0	0.13
LOC100131067	gene10132	NA	NA	NA	NA	1.6	1.62	1.45	0.65	1.01	0.8	2.61	3.65	0.63
ZCCHC9	gene10133	84240	zinc finger, CCHC domain containing 9	5	  80597402	7.11	7.6	7.26	4.22	7.67	6.78	10.77	10.81	5.37
ACOT12	gene10134	134526	acyl-CoA thioesterase 12	5	 -80625947	0.03	0.03	0.07	0	0	0	0.18	0.11	0.02
SSBP2	gene10135	23635	single-stranded DNA binding protein 2	5	 -80713179	9.87	11.09	9.8	3.75	6.14	4.35	11.93	11.65	2.18
SHFM1P1	gene10136	153842	split hand/foot malformation (ectrodactyly) type 1 pseudogene 1	5	NA	2.44	2.82	2.37	2.58	2.25	1.32	3.05	1.12	2.02
ATG10	gene10137	83734	autophagy related 10	5	  81267844	2.63	3.03	2.73	2.16	2.45	2.56	4.26	3.28	1.95
PPIAP11	gene10138	5483	peptidylprolyl isomerase A (cyclophilin A) pseudogene 11	5	NA	7.45	9.36	8.92	10.4	8.68	7.58	5.87	5.51	10.58
RPS23	gene10139	6228	ribosomal protein S23	5	 -81569139	106.83	114.23	93.22	84.39	89.5	86.13	144.88	124.23	86.39
HMGB1P45	gene1014	100129919	high mobility group box 1 pseudogene 45	1	NA	0	0.17	0	0	0	0	0	0	0.12
ATP6AP1L	gene10140	92270	ATPase, H+ transporting, lysosomal accessory protein 1-like	5	  81601166	1.49	2.41	2.46	0.89	1.22	0.88	2.3	3.16	0.29
FLJ41309	gene10141	NA	NA	NA	NA	0.02	0.03	0	0.03	0	0.03	0.04	0	0
RPL5P16	gene10142	100270837	ribosomal protein L5 pseudogene 16	5	NA	0	0	0	0	0	0	0.07	0	0
ST13P12	gene10144	100127911	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 12	5	NA	0.18	0.26	0.22	0.14	0.23	0.12	0.64	0.42	0.12
TMEM167A	gene10145	153339	transmembrane protein 167A	5	 -82348665	16.84	20.94	17.25	16.8	13.72	14.59	33.72	29.78	19.59
SCARNA18	gene10146	677765	small Cajal body-specific RNA 18	5	 -82360023	272.4	216.53	399.22	344.83	208.01	108.54	27.86	9.44	450.51
XRCC4	gene10147	7518	X-ray repair complementing defective repair in Chinese hamster cells 4	5	  82373317	3.05	3.87	3.39	3.12	3.39	3.94	4.72	3.86	2.21
VCAN	gene10150	1462	versican	5	  82767493	14.45	43.34	34.49	26.03	35.45	31	20.91	22.23	31.75
HAPLN1	gene10151	1404	hyaluronan and proteoglycan link protein 1	5	 -82934017	1.88	5.4	4.08	2.36	228.66	221.55	2.41	1.94	2.2
RPL13AP14	gene10152	100271278	ribosomal protein L13a pseudogene 14	5	NA	0.13	0	0	0.53	0.15	0.15	0	0	0
EDIL3	gene10154	10085	EGF-like repeats and discoidin I-like domains 3	5	 -83238126	2.17	5.31	4.36	4.3	35.61	33.83	3.41	2.7	4.71
RPL5P17	gene10158	100270839	ribosomal protein L5 pseudogene 17	5	NA	0.07	0.03	0	0	0	0	0	0.08	0
DMRTA2	gene1016	63950	DMRT-like family A2	1	 -50883223	0.02	0.12	0.07	0	0.11	0.07	0.03	0	0.01
PTP4A1P4	gene10161	100129564	protein tyrosine phosphatase type IVA, member 1 pseudogene 4	5	NA	0	0	0	0	0	0	0	0.04	0
NBPF22P	gene10162	285622	neuroblastoma breakpoint family, member 22, pseudogene	5	  85578262	0.02	0.02	0	0.02	0.09	0.05	0	0	0
COX7C	gene10164	1350	cytochrome c oxidase subunit VIIc	5	  85913784	209.66	287.92	229.09	243.72	187.8	161.11	321.93	273.36	256.34
RPL10AP9	gene10167	728979	ribosomal protein L10a pseudogene 9	5	NA	0	0.11	0	0	0	0	0.08	0	0.08
RASA1	gene10169	5921	RAS p21 protein activator (GTPase activating protein) 1	5	  86564070;   86564741	9.25	16.1	13.35	6.13	12	12.24	13.86	13.66	7.19
FAF1	gene1017	11124	Fas (TNFRSF6) associated factor 1	1	 -50906935	8.48	11.88	9.77	8.36	10	8.99	14.63	14.51	8.44
CCNH	gene10170	902	cyclin H	5	 -86690079	6.47	10.53	8.36	6.54	8.38	9.92	9.04	8.78	5.45
TMEM161B	gene10171	153396	transmembrane protein 161B	5	 -87491023	1.93	3.39	3.37	1.75	1.81	2.51	2.97	3.26	1.43
TMEM161B-AS1	gene10172	100505894	TMEM161B antisense RNA 1	5	  87564699;   87564841	1.86	2.74	2.01	1.4	1.96	0.92	0.98	1.42	0.85
RPS3AP22	gene10173	100130786	ribosomal protein S3a pseudogene 22	5	NA	0.16	0	0	0.08	0	0	0	0	0
LINC00461	gene10174	645323	long intergenic non-protein coding RNA 461	5	 -87836597;  -87960263	0.14	25.18	20.28	0.02	0.04	0.15	0.06	0.18	0.04
MEF2C	gene10177	4208	myocyte enhancer factor 2C	5	 -88014058	0.32	1.38	1.19	0.41	6.75	5.77	0.6	0.58	0.21
CETN3	gene10179	1070	centrin, EF-hand protein, 3	5	 -89689529	9.9	16.13	14.6	8.54	9.17	12.2	14.5	16.4	5.95
LOC731157	gene10180	731157	uncharacterized LOC731157	5	NA	0	0.15	0	0	0	0	0	0.16	0
MBLAC2	gene10181	153364	metallo-beta-lactamase domain containing 2	5	 -89754020	0.64	1.14	1.03	0.71	0.86	0.84	1.19	1.55	0.59
POLR3G	gene10182	10622	polymerase (RNA) III (DNA directed) polypeptide G (32kD)	5	  89770681	0.79	2.37	1.36	15.14	0.77	1.15	1.17	1.73	18.44
LYSMD3	gene10183	116068	LysM, putative peptidoglycan-binding, domain containing 3	5	 -89811445	2.01	3.45	3.29	2.15	3.74	3.96	3.34	3.46	1.85
GPR98	gene10184	84059	G protein-coupled receptor 98	5	  89854617	1.34	3.61	3.41	1.15	0.58	0.36	2.92	2.22	1.18
LOC100420909	gene10185	100420909	transmembrane protein 251 pseudogene	5	NA	0	0	0	0.17	0	0	0	0	0
LOC729040	gene10186	729040	uncharacterized LOC729040	5	NA	0	0	0	0	0	0	0	0.08	0
LOC100505994	gene10187	NA	NA	NA	NA	0	0	0.03	0	0.03	0.03	0	0	0
ARRDC3	gene10189	57561	arrestin domain containing 3	5	 -90664541	8.24	14.54	12.9	2.21	9.12	9.18	14.07	18.41	1.51
ARRDC3-AS1	gene10190	100129716	ARRDC3 antisense RNA 1	5	  90676164	0.26	0.29	0.36	0.18	0.23	0.23	0.5	0.64	0.15
LOC133789	gene10191	NA	NA	NA	NA	0	0.13	0	0	0	0	0	0	0
PCBP2P3	gene10192	100131236	poly(rC) binding protein 2 pseudogene 3	5	NA	0.16	0	0.28	0.17	0.2	0.1	0.2	0.3	0.44
POLD2P1	gene10196	391811	polymerase (DNA directed), delta 2, accessory subunit pseudogene 1	5	NA	0	0	0	0	0	0	0	0	0.07
FLJ42709	gene10197	NA	NA	NA	NA	1.95	5.9	3.43	0.49	1.47	1.87	3.56	2.11	0.3
NR2F1	gene10198	7025	nuclear receptor subfamily 2, group F, member 1	5	  92919043	25.53	63.2	48.74	6.92	5.88	3.85	26.22	27.88	3.9
FAM172A	gene10199	83989	family with sequence similarity 172, member A	5	 -92953431	3.03	5.24	4.42	2.35	3.11	3.04	5.48	5.14	1.62
PANK4	gene102	55229	pantothenate kinase 4	1	  -2439975	5.82	7.98	7.38	2.96	7.01	5.17	9.13	10.52	2.62
CDKN2C	gene1020	1031	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	1	  51434367;   51435642	0.12	0.5	0.23	0.15	0.24	0.1	0.04	0.18	0
LOC100422243	gene10201	NA	NA	NA	NA	0.13	0.19	0	0.3	0.09	0.08	0.04	0	0.05
POU5F2	gene10202	134187	POU domain class 5, transcription factor 2	5	 -93076015	0	0.05	0.06	0	0	0	0.04	0	0
KIAA0825	gene10203	285600	KIAA0825	5	 -93486556;  -93854918	0.66	0.59	0.66	0.47	0.3	0.42	0.93	0.77	0.37
ANKRD32	gene10206	84250	ankyrin repeat domain 32	5	  93954391	3.86	4.51	4.76	2.99	2.33	2.06	5.76	5.72	3
MCTP1	gene10207	79772	multiple C2 domains, transmembrane 1	5	 -94042289	0.12	0.16	0.07	0.21	0.17	0.35	0.34	0.35	0.23
RPL7P18	gene10208	100270852	ribosomal protein L7 pseudogene 18	5	NA	0	0	0	0	0	0.1	0	0	0
FAM81B	gene10209	153643	family with sequence similarity 81, member B	5	  94727048	0	0	0.14	0.08	0.1	0.05	0	0	0
TTC37	gene10211	9652	tetratricopeptide repeat domain 37	5	 -94799599	10.34	13.72	12.72	7.15	13.22	12.7	17.49	15.61	8.01
ARSK	gene10212	153642	arylsulfatase family, member K	5	  94890825	2.65	2.71	2.64	2.05	3.55	3.36	3.52	4.21	2.31
GPR150	gene10213	285601	G protein-coupled receptor 150	5	  94955980	0	0.05	0	0.05	0.06	0	0	0	0
RFESD	gene10214	317671	Rieske (Fe-S) domain containing	5	  94982583;   94982481	0.49	0.89	0.66	0.52	0	0.22	0.56	0.48	0.29
SPATA9	gene10215	83890	spermatogenesis associated 9	5	 -94994020	0	0.17	0.12	0	0.12	0	0	0	0.04
RHOBTB3	gene10216	22836	Rho-related BTB domain containing 3	5	  95066850	1.52	29.18	34.29	3.59	35.73	35.34	1.42	1.65	2.88
HSPD1P11	gene10217	100359396	heat shock 60kDa protein 1 (chaperonin) pseudogene 11	5	NA	0.03	0.34	0.39	0	0.27	0.34	0.02	0	0.02
GLRX	gene10218	2745	glutaredoxin (thioltransferase)	5	 -95149553	5.01	8.73	7.96	6.3	19.33	19.3	4.95	3.52	3.81
LOC100528061	gene10219	100528061	gamma-glutamylcyclotransferase pseudogene	5	NA	0	0	0	0	0	0	0.08	0	0.15
C5orf27	gene10220	202299	chromosome 5 open reading frame 27	5	  95187936	0.26	0.41	0.75	0.4	0.35	0.29	0.26	0.39	0.42
ELL2	gene10221	22936	elongation factor, RNA polymerase II, 2	5	 -95220802	1.67	3.84	3.81	1.73	2.09	1.81	2.13	2.53	1.86
PCSK1	gene10224	5122	proprotein convertase subtilisin/kexin type 1	5	 -95726040	0.45	0.39	0.41	0.24	0.2	0.07	0.83	0.84	0.25
CAST	gene10225	831	calpastatin	5	  96038493;   95997907;   95997741;   96079244	9.35	6.81	6.17	4.96	11.31	11.16	14.49	15.09	4.08
ERAP1	gene10226	51752	endoplasmic reticulum aminopeptidase 1	5	 -96110188;  -96096514	2.74	2.85	2.33	1.42	2.31	2.33	3.79	3.77	1.3
ERAP2	gene10227	64167	endoplasmic reticulum aminopeptidase 2	5	  96211644	0.02	0.02	0	0.03	0.12	0.1	0.06	0.04	0.03
LNPEP	gene10228	4012	leucyl/cystinyl aminopeptidase	5	  96294156;   96271346	1.03	1.62	1.71	0.62	1.96	1.7	1.98	1.89	0.39
CFL1P2	gene1023	391039	cofilin 1 (non-muscle) pseudogene 2	1	NA	0	0	0	0	0.18	0	0	0	0.06
SETP22	gene10230	642737	SET pseudogene 22	5	NA	0.05	0.05	0.03	0.02	0.03	0	0.21	0.13	0.03
LIX1	gene10231	167410	Lix1 homolog (chicken)	5	 -96427574	18.55	5.83	4.61	1.53	5.26	5.67	25.87	24.22	1.78
